Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
30;0;35;no;1;no;"{""code"": ""16107"", ""name"": ""Benjamin Godard - Victor Hugo"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1531632033, ""gps"": {""latitude"": 48.865983, ""longitude"": 2.275725}}";0;yes;0;2;no;0;3;0;16107;Benjamin Godard - Victor Hugo;Operative;yes;6863127.31356,646867.5476;2018-07-15
38;0;52;no;1;yes;"{""code"": ""6015"", ""name"": ""André Mazet - Saint-André des Arts"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522965646, ""gps"": {""latitude"": 48.85375581057431, ""longitude"": 2.3390958085656166}}";55;yes;3;10;no;3;4;0;6015;André Mazet - Saint-André des Arts;Operative;yes;6861726.97899,651504.905142;2018-04-05
13;0;38;no;1;yes;"{""code"": ""11037"", ""name"": ""Faubourg Du Temple - Republique"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1557612000, ""gps"": {""latitude"": 48.867872484748744, ""longitude"": 2.3648982158072323}}";0;yes;0;10;no;0;15;0;11037;Faubourg Du Temple - Republique;Operative;yes;6863281.10064,653410.789083;2019-05-11
20;0;21;no;1;yes;"{""code"": ""9020"", ""name"": ""Toudouze - Clauzel"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1543615140, ""gps"": {""latitude"": 48.87929591733507, ""longitude"": 2.3373600840568547}}";21;yes;0;0;no;0;1;0;9020;Toudouze - Clauzel;Operative;yes;6864567.90437,651401.378236;2018-11-30
19;0;20;no;1;no;"{""code"": ""11104"", ""name"": ""Charonne - Robert et Sonia Delauney"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540245629, ""gps"": {""latitude"": 48.85590755596891, ""longitude"": 2.3925706744194035}}";0;yes;0;1;no;0;0;0;11104;Charonne - Robert et Sonia Delauney;Operative;yes;6861934.72171,655430.484286;2018-10-22
26;0;30;no;1;no;"{""code"": ""12109"", ""name"": ""Mairie du 12ème"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1553814028, ""gps"": {""latitude"": 48.84085531176338, ""longitude"": 2.3875549435615544}}";30;yes;0;1;no;0;3;0;12109;Mairie du 12ème;Operative;yes;6860263.89269,655049.485913;2019-03-28
47;0;60;no;1;yes;"{""code"": ""7003"", ""name"": ""Square Boucicaut"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1530350922, ""gps"": {""latitude"": 48.851296433665276, ""longitude"": 2.325061820447445}}";0;yes;0;5;no;0;8;0;7003;Square Boucicaut;Operative;yes;6861462.23007,650472.822069;2018-06-30
1;0;1;no;1;yes;"{""code"": ""5001"", ""name"": ""Harpe - Saint-Germain"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1584914400, ""gps"": {""latitude"": 48.85151881501689, ""longitude"": 2.343670316040516}}";45;yes;35;2;no;44;7;0;5001;Harpe - Saint-Germain;Operative;yes;6861475.44599,651838.493023;2020-03-22
54;0;60;no;1;yes;"{""code"": ""14014"", ""name"": ""Jourdan - Stade Charléty"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1556488800, ""gps"": {""latitude"": 48.81942833336948, ""longitude"": 2.343335375189781}}";60;yes;0;3;no;0;3;0;14014;Jourdan - Stade Charléty;Operative;yes;6857907.53976,651784.241945;2019-04-28
0;0;0;no;1;yes;"{""code"": ""17026"", ""name"": ""Jouffroy d'Abbans - Wagram"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1519858800, ""gps"": {""latitude"": 48.881973298351625, ""longitude"": 2.301132157444954}}";41;yes;39;0;no;41;2;0;17026;Jouffroy d'Abbans - Wagram;Operative;no;6864888.51711,648747.091267;2018-02-28
